"REF_DATE","GEO","DGUID","Traveller characteristics","Traveller type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2025-03","Canada","2016A000011124","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296956583","1.41.1","4266416","","p","","0"
"2025-03","Canada","2016A000011124","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296956584","1.41.2","1031589","","p","","0"
"2025-03","Canada","2016A000011124","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296956585","1.41.3","3234827","","p","","0"
"2025-03","Canada","2016A000011124","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296956586","1.42.1","2726039","","p","","0"
"2025-03","Canada","2016A000011124","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296956587","1.42.2","1021351","","p","","0"
"2025-03","Canada","2016A000011124","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296956588","1.42.3","1704688","","p","","0"
"2025-03","Newfoundland and Labrador","2016A000210","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296956776","2.41.1","2575","","p","","0"
"2025-03","Newfoundland and Labrador","2016A000210","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296956777","2.41.2","301","","p","","0"
"2025-03","Newfoundland and Labrador","2016A000210","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296956778","2.41.3","2274","","p","","0"
"2025-03","Newfoundland and Labrador","2016A000210","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296956779","2.42.1","1227","","p","","0"
"2025-03","Newfoundland and Labrador","2016A000210","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296956780","2.42.2","124","","p","","0"
"2025-03","Newfoundland and Labrador","2016A000210","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296956781","2.42.3","1103","","p","","0"
"2025-03","Avalon Peninsula","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296956939","3.41.1","2072","","p","","0"
"2025-03","Avalon Peninsula","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296956940","3.41.2","92","","p","","0"
"2025-03","Avalon Peninsula","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296956941","3.41.3","1980","","p","","0"
"2025-03","Avalon Peninsula","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296956942","3.42.1","1177","","p","","0"
"2025-03","Avalon Peninsula","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296956943","3.42.2","76","","p","","0"
"2025-03","Avalon Peninsula","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296956944","3.42.3","1101","","p","","0"
"2025-03","St. John's","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296957265","5.41.1","2072","","p","","0"
"2025-03","St. John's","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296957266","5.41.2","92","","p","","0"
"2025-03","St. John's","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296957267","5.41.3","1980","","p","","0"
"2025-03","St. John's","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296957268","5.42.1","1177","","p","","0"
"2025-03","St. John's","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296957269","5.42.2","76","","p","","0"
"2025-03","St. John's","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296957270","5.42.3","1101","","p","","0"
"2025-03","Central Newfoundland","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296957428","6.41.1","184","","p","","0"
"2025-03","Central Newfoundland","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296957429","6.41.2","21","","p","","0"
"2025-03","Central Newfoundland","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296957430","6.41.3","163","","p","","0"
"2025-03","Central Newfoundland","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296957431","6.42.1","22","","p","","0"
"2025-03","Central Newfoundland","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296957432","6.42.2","21","","p","","0"
"2025-03","Central Newfoundland","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296957433","6.42.3","1","","p","","0"
"2025-03","Gander","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296957591","7.41.1","184","","p","","0"
"2025-03","Gander","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296957592","7.41.2","21","","p","","0"
"2025-03","Gander","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296957593","7.41.3","163","","p","","0"
"2025-03","Gander","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296957594","7.42.1","22","","p","","0"
"2025-03","Gander","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296957595","7.42.2","21","","p","","0"
"2025-03","Gander","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296957596","7.42.3","1","","p","","0"
"2025-03","Eastern Newfoundland","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296957917","9.41.1","99","","p","","0"
"2025-03","Eastern Newfoundland","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296957918","9.41.2","99","","p","","0"
"2025-03","Fortune","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296958243","11.41.1","99","","p","","0"
"2025-03","Fortune","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296958244","11.41.2","99","","p","","0"
"2025-03","Labrador","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296958406","12.41.1","18","","p","","0"
"2025-03","Labrador","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296958407","12.41.2","17","","p","","0"
"2025-03","Labrador","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296958408","12.41.3","1","","p","","0"
"2025-03","Labrador","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296958409","12.42.1","18","","p","","0"
"2025-03","Labrador","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296958410","12.42.2","17","","p","","0"
"2025-03","Labrador","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296958411","12.42.3","1","","p","","0"
"2025-03","Goose Bay","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296958569","13.41.1","18","","p","","0"
"2025-03","Goose Bay","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296958570","13.41.2","17","","p","","0"
"2025-03","Goose Bay","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296958571","13.41.3","1","","p","","0"
"2025-03","Goose Bay","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296958572","13.42.1","18","","p","","0"
"2025-03","Goose Bay","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296958573","13.42.2","17","","p","","0"
"2025-03","Goose Bay","","Canadian residents returning from the United States of America","Tourists (overnight)","Travellers","418","units","0","v1296958574","13.42.3","1","","p","","0"
"2025-03","Western Newfoundland","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296958732","14.41.1","202","","p","","0"
"2025-03","Western Newfoundland","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296958733","14.41.2","72","","p","","0"
"2025-03","Western Newfoundland","","Canadian-resident visitors returning to Canada","Tourists (overnight)","Travellers","418","units","0","v1296958734","14.41.3","130","","p","","0"
"2025-03","Western Newfoundland","","Canadian residents returning from the United States of America","Travellers","Travellers","418","units","0","v1296958735","14.42.1","10","","p","","0"
"2025-03","Western Newfoundland","","Canadian residents returning from the United States of America","Excursionists (same-day)","Travellers","418","units","0","v1296958736","14.42.2","10","","p","","0"
"2025-03","Corner Brook","","Canadian-resident visitors returning to Canada","Travellers","Travellers","418","units","0","v1296958895","15.41.1","201","","p","","0"
"2025-03","Corner Brook","","Canadian-resident visitors returning to Canada","Excursionists (same-day)","Travellers","418","units","0","v1296958896","15.41.2","71","","p","","0"
